标题,摘要,发布时间,链接
阿里概念股午后拉升 数据港涨停,阿里概念股午后拉升，数据港涨停，润建股份、顺钠股份、杭钢股份、壹网壹创等跟涨。,2026-02-06 13:03:55,https://finance.eastmoney.com/a/202602063643964968.html
海南首批岛内居民日用消费品免税店拟定于2月11日开业,【海南首批岛内居民日用消费品免税店拟定于2月11日开业】海南省新闻办公室6日举行新闻发布会，介绍海南自由贸易港岛内居民消费进境商品“零关税”政策有关情况。记者从会上获悉，海南首批岛内居民日用消费品免税店拟定于2026年2月11日开业。,2026-02-06 13:01:52,https://finance.eastmoney.com/a/202602063643962346.html
金店一个月扫出1700克金粉！同行揭秘,【金店一个月扫出1700克金粉！同行揭秘】金价维持在高位，现在很多人都在排队“打金”。相比于直接买金首饰，打金的体验感更强，不仅可以定制款式，价格也相较品牌金饰更便宜，赢得了不少消费者的青睐。近日，“打金店1个月扫出1700克金粉”的话题引发网友广泛关注与讨论。不少朋友疑惑，这些金粉是从哪里来的，打金店为什么能攒下这么多？黄金加工过程中的损耗，需要消费者承担吗？,2026-02-06 12:58:34,https://finance.eastmoney.com/a/202602063643954513.html
光纤光缆大爆发！一则利好突然来袭！,【光纤光缆大爆发！一则利好突然来袭！】2月6日早盘，最先爆发的是光纤光缆行业，市值近700亿元的长飞光纤开盘13分钟后涨停，续创历史新高。随后，通鼎互联、亨通光电、长盈通等集体大涨。根据券商研报，2026年1月，中国市场G.652.D单模光纤价格创下近七年来的新高，平均价格来到35元/芯公里以上。还有部分报价突破40元/芯公里，年内涨幅超80%，创行业罕见涨幅。,2026-02-06 12:56:42,https://finance.eastmoney.com/a/202602063643953963.html
4001只私募产品1月净值创新高,【4001只私募产品1月净值创新高】1441家私募旗下共计4001只私募产品的净值在今年1月创下历史新高。经统计，至少有3只产品有近3年业绩展示（成立满3年）且符合排名规则的私募有139家，其中百亿私募仅14家，股票策略私募占8家，收益均值排名前五的私募依次为天演资本、复胜资产、诚奇私募、幻方量化、明汯投资。,2026-02-06 12:54:12,https://finance.eastmoney.com/a/202602063643953439.html
中际旭创盘中跌超5%！公募头号重仓股遭遇“登顶之困”？,【中际旭创盘中跌超5%！公募头号重仓股遭遇“登顶之困”？】作为公募第一大重仓股，市场看待中际旭创，用的是“显微镜”和“望远镜”，即对公司关注颗粒度更高，对预期变化的关注度更高；另外，山巅之上，情绪之风更为明显，筹码受情绪性因素影响的情况更加突出。,2026-02-06 12:51:00,https://finance.eastmoney.com/a/202602063643953387.html
告别“炫技式试点” 本地化私有部署成AI规模化落地关键,【告别“炫技式试点” 本地化私有部署成AI规模化落地关键】Cloudera大中华区技术总监刘隶放对记者表示，无论是传统行业巨头还是新兴产业领军者，都纷纷将本地化私有部署作为AI规模化落地的基础架构，这一趋势不仅彰显了AI产业化的深度演进，更标志着中国AI发展从“概念炒作”迈向“硬核成果”的关键转折，为企业在AI时代构建核心竞争力奠定了坚实基础。,2026-02-06 12:50:15,https://finance.eastmoney.com/a/202602063643952448.html
汽车改装在政策“松绑”中寻求新坐标,【汽车改装在政策“松绑”中寻求新坐标】“我们下一步将大力推动全市汽车后市场体系建设，持续培育汽车改装产业。”近日，一位地方政府人士在2026新能源汽车后市场新生态大会上表示，未来将支持整车及零部件企业与改装企业等进行深度对接，加强政策研究和标准建设，依法依规为消费者提供更安全、环保、个性化的改装服务，有序推动汽车改装市场发展。,2026-02-06 12:50:00,https://finance.eastmoney.com/a/202602063643952714.html
阿童木机器人冲刺港股 2025年前三季度首次盈利,【阿童木机器人冲刺港股 2025年前三季度首次盈利】记者了解到，作为一家成立十三年的技术驱动型企业，阿童木机器人自2020年起已连续五年位居国内自主品牌并联机器人市场占有率第一，并在2023年实现了对外资品牌的全面超越。2025年前三季度，阿童木机器人首次实现账面盈利。外界关注的是，其盈利的可持续性、新兴产品的巨额亏损以及持续的现金流出，仍是冲击资本市场之路上面临的严峻考验。,2026-02-06 12:49:58,https://finance.eastmoney.com/a/202602063643952593.html
“小米、极氪对撞测试”引发公诉 高若翔涉嫌损害商品声誉案今日开庭审理,【“小米、极氪对撞测试”引发公诉 高若翔涉嫌损害商品声誉案今日开庭审理】记者从高若翔代理律师处了解到，高若翔涉嫌损害商品声誉罪一案，今日在北京市海淀区人民法院开庭审理。高若翔，即B站UP主“原来是翔翔啊”，截至发稿，该账号拥有粉丝超过百万。,2026-02-06 12:48:34,https://finance.eastmoney.com/a/202602063643952974.html
